Driver,LapNumber,Stint,PitInTime,PitOutTime
VER,32.0,1.0,7237.713,
VER,33.0,2.0,,8646.937
GAS,32.0,1.0,7242.932,
GAS,33.0,2.0,,8650.476
PER,27.0,1.0,6662.459,
PER,28.0,2.0,,6689.055
PER,32.0,2.0,7271.572,
PER,33.0,3.0,,8696.818
ALO,27.0,1.0,6638.911,
ALO,28.0,2.0,,6664.041
ALO,32.0,2.0,7258.391,
ALO,33.0,3.0,,8681.305
LEC,24.0,1.0,6364.229,
LEC,25.0,2.0,,6388.829
LEC,32.0,2.0,7253.387,
LEC,33.0,3.0,,8673.679
TSU,28.0,1.0,6734.549,
TSU,29.0,2.0,,6760.202
TSU,32.0,2.0,7250.96,
TSU,33.0,3.0,,8669.975
ZHO,27.0,1.0,6689.972,
ZHO,28.0,2.0,6815.972,6715.386
ZHO,29.0,3.0,,6843.135
ZHO,31.0,3.0,7240.326,
ZHO,32.0,4.0,8633.295,8523.366
ZHO,33.0,5.0,,8701.911
HUL,25.0,1.0,6462.044,
HUL,26.0,2.0,,6487.559
HUL,27.0,2.0,6799.09,
HUL,28.0,3.0,,6858.189
HUL,29.0,3.0,7095.35,
HUL,30.0,4.0,7265.31,7124.08
LAW,28.0,1.0,6753.272,
LAW,29.0,2.0,,6781.512
LAW,32.0,2.0,7261.403,
LAW,33.0,3.0,,8684.043
OCO,32.0,1.0,7235.467,
OCO,33.0,2.0,,8644.195
NOR,28.0,1.0,6719.156,
NOR,29.0,2.0,,6743.972
NOR,32.0,2.0,7244.01,
NOR,33.0,3.0,,8659.374
COL,26.0,1.0,6561.143,
COL,27.0,2.0,,6586.437
COL,30.0,2.0,7020.432,
HAM,27.0,1.0,6653.06,
HAM,28.0,2.0,,6678.314
HAM,32.0,2.0,7262.996,
HAM,33.0,3.0,,8688.717
BEA,27.0,1.0,6650.609,
BEA,28.0,2.0,,6686.516
BEA,32.0,2.0,7273.837,
BEA,33.0,3.0,,8698.613
SAI,1.0,1.0,,4329.688
SAI,27.0,1.0,6659.271,
SAI,28.0,2.0,,6685.359
SAI,32.0,2.0,7269.712,
SAI,33.0,3.0,,8694.333
RUS,28.0,1.0,6717.867,
RUS,29.0,2.0,,6743.437
RUS,32.0,2.0,7249.338,
RUS,33.0,3.0,,8665.205
BOT,32.0,1.0,7268.368,
BOT,33.0,2.0,,8690.479
PIA,27.0,1.0,6635.34,
PIA,28.0,2.0,,6661.316
PIA,32.0,2.0,7256.326,
PIA,33.0,3.0,,8676.465
